이용일자,가맹점명,이용금액,구분,결제방법
2026-06-01,배달의민족,23900,국내,신한카드
2026-06-01,스타벅스 강남점,5600,국내,신한카드
2026-06-02,GS25 역삼점,8400,국내,신한카드
2026-06-02,카카오T,12300,국내,신한카드
2026-06-03,에이블짐 헬스장,99000,국내,신한카드
2026-06-03,이마트 성수점,64200,국내,신한카드
2026-06-04,올리브영,38700,국내,신한카드
2026-06-05,유튜브 프리미엄,14900,국내,신한카드
2026-06-07,쿠팡,118400,국내,신한카드
2026-06-09,아파트 관리비,210000,국내,신한카드
2026-06-10,넷플릭스,17000,국내,신한카드
2026-06-12,무신사,89000,국내,신한카드
2026-06-14,CGV 용산,28000,국내,신한카드
2026-06-15,급여이체,3200000,입금,신한은행
2026-06-16,올리브영 환불,-12000,취소,신한카드
2026-06-18,GS칼텍스 주유,70000,국내,신한카드
2026-06-20,배달의민족,46200,국내,신한카드
2026-06-22,교보문고,32000,국내,신한카드
2026-06-25,스타벅스 판교,6100,국내,신한카드
2026-06-28,쿠팡와우,4990,국내,신한카드
